event_type,phase,event_count,mean_car,std_car,min_car,max_car,significant_events,pct_significant
COMPLETION,PHASE1,22,0.0061,0.0469,-0.1108,0.0976,1,4.5
COMPLETION,PHASE2,28,0.0107,0.0593,-0.1545,0.1944,2,7.1
COMPLETION,PHASE3,7,0.0137,0.0185,-0.0067,0.0377,0,0.0
PRIMARY_COMPLETION,PHASE1,27,0.0062,0.0379,-0.0566,0.0976,1,3.7
PRIMARY_COMPLETION,PHASE2,44,0.0150,0.0445,-0.0717,0.1944,4,9.1
PRIMARY_COMPLETION,PHASE3,9,0.0050,0.0220,-0.0195,0.0377,0,0.0
TERMINATION,PHASE1,3,0.0285,0.0636,-0.0154,0.1014,0,0.0
TERMINATION,PHASE2,14,0.0076,0.0397,-0.0598,0.0804,1,7.1
TERMINATION,PHASE3,4,-0.0111,0.0097,-0.0195,-0.0027,0,0.0
TRIAL_START,PHASE1,27,-0.0002,0.0406,-0.0561,0.1327,2,7.4
TRIAL_START,PHASE2,47,0.0159,0.1293,-0.1861,0.8038,6,12.8
TRIAL_START,PHASE3,13,-0.0331,0.0423,-0.0961,0.0215,2,15.4
