ticker_symbol,sponsor_name,event_type,event_date,phase,overall_status,car,t_stat,p_value,direction
PLRX,Pliant Therapeutics, Inc.,TRIAL_START,2022-07-13,PHASE2,COMPLETED,0.8038,6.5970,0.0000,POSITIVE
VICO.ST,Vicore Pharma AB,COMPLETION,2024-03-30,PHASE2,COMPLETED,0.1944,2.9161,0.0050,POSITIVE
VICO.ST,Vicore Pharma AB,PRIMARY_COMPLETION,2024-03-30,PHASE2,COMPLETED,0.1944,2.9161,0.0050,POSITIVE
MRK,Afferent Pharmaceuticals, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA),COMPLETION,2015-08-21,PHASE2,COMPLETED,-0.1545,-7.5031,0.0000,NEGATIVE
688062.SS,Mabwell (Shanghai) Bioscience Co., Ltd.,TRIAL_START,2023-07-26,PHASE1,UNKNOWN,0.1327,2.2368,0.0291,POSITIVE
600276.SS,Guangdong Hengrui Pharmaceutical Co., Ltd,COMPLETION,2025-07-27,PHASE1,COMPLETED,0.0976,2.4975,0.0153,POSITIVE
600276.SS,Guangdong Hengrui Pharmaceutical Co., Ltd,PRIMARY_COMPLETION,2025-07-27,PHASE1,COMPLETED,0.0976,2.4975,0.0153,POSITIVE
BMY,Bristol-Myers Squibb,TRIAL_START,2023-10-25,PHASE3,ACTIVE_NOT_RECRUITING,-0.0961,-4.9095,0.0000,NEGATIVE
000210.KS,IlDong Pharmaceutical Co Ltd,TRIAL_START,2014-07-01,NaN,COMPLETED,0.0827,2.3213,0.0237,POSITIVE
GSK,GlaxoSmithKline,PRIMARY_COMPLETION,2025-10-01,PHASE2,TERMINATED,0.0804,2.2448,0.0285,POSITIVE
GSK,GlaxoSmithKline,TERMINATION,2025-10-01,PHASE2,TERMINATED,0.0804,2.2448,0.0285,POSITIVE
PFE,Global Blood Therapeutics,TRIAL_START,2016-11-01,PHASE2,TERMINATED,-0.0762,-4.2741,0.0001,NEGATIVE
RHHBY,Hoffmann-La Roche,PRIMARY_COMPLETION,2017-01-01,PHASE2,WITHDRAWN,0.0704,2.5097,0.0148,POSITIVE
RHHBY,Hoffmann-La Roche,TRIAL_START,2016-12-31,PHASE2,COMPLETED,0.0704,2.5097,0.0148,POSITIVE
RHHBY,Hoffmann-La Roche,TRIAL_START,2017-10-23,PHASE3,COMPLETED,-0.0673,-4.6927,0.0000,NEGATIVE
MRK,Afferent Pharmaceuticals, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA),PRIMARY_COMPLETION,2016-07-01,PHASE2,COMPLETED,0.0600,2.5783,0.0124,POSITIVE
RHHBY,Hoffmann-La Roche,TRIAL_START,2013-10-13,PHASE2,COMPLETED,0.0525,2.2630,0.0273,POSITIVE
AMGN,Amgen,TRIAL_START,2022-01-20,PHASE2,TERMINATED,-0.0506,-2.1019,0.0398,NEGATIVE
GSK,GlaxoSmithKline,TRIAL_START,2024-04-04,PHASE2,TERMINATED,-0.0457,-2.2946,0.0253,NEGATIVE
GSK,GlaxoSmithKline,TRIAL_START,2014-01-24,PHASE1,TERMINATED,-0.0388,-2.1044,0.0396,NEGATIVE
